단어,발음,주요뜻,메모,암기여부,저장날짜
catch,kæʧ,잡다|받다|적발하다|체포하다|걸리다,"1)2. 잡은 것; 어획량 
get a good catch 고기를 많이 잡다 
3. [구어] 얻고 싶은 것[사람], 대어, 뜻밖에 구한 진귀한 것 
a good catch 좋은 결혼 상대자   no catch 달갑지 않은 것, 무익한, 싫은, 어려운
4. [문]고리, 걸쇠, 잠금쇠, 손잡이 
the catch on a trunk 트렁크의 잠금쇠 
6. [구어] [사람을 걸리게 하는] 함정, 올가미, 책략 
This question has a catch in it. 이 문제에는 함정이 있다. 

",미암기,2011-01-10 21:54:23
lay down the law,,독단적인 말투를 쓰다|권위자처럼 단언하다|거만한 태도로 명령하다,"1)give somebody orders and express your opinions in an unpleasant, aggressive way, often when you have no right to do so. 

ex) He came in here this morning and started laying down the law about all kinds of things. Who does he think he is? 오늘아침 여기와서 고압적으로 이래라 저래라 했다. 자기가 뭐라도 되는줄 아나보지?
",미암기,2011-01-10 20:27:24
let it all hang out,,솔직하게 말하다|마음을 터놓다|속편하게 하다,"1)If you cut that fancy footwork out, I'll let it all hang out, too.
당신이 교묘하게 말꼬리를 돌리지만 않는다면 나도 솔직히 털어놓겠소
Sometimes you just have to let it all hang out and say what you really think.
",미암기,2011-01-10 20:26:07
hot under the collar,,화를 내어|흥분하여|당황하여,,미암기,2011-01-09 21:35:09
move along,,저리 가시오|안으로 들어가 주세요|떠나가게 하다,,미암기,2011-01-09 15:15:01
wasted,wéistid,헛된|황폐해진|쇠약해진,"1)I was wasted yesterday. 나 어제 취했었어
",미암기,2011-01-07 15:34:05
carry away,,…을 가져가 버리다|휩쓸다|…의 목숨을 빼앗다,"1)I guess I got carried away.  내가 들떠 있었나 봐. 
When I shop I get carried away. 쇼핑만 하면 난 정신이 나가버려. 


",미암기,2011-01-07 12:54:54
on end,,한쪽 끝을 밑으로 하고|곧추세워서|계속적으로,"1)1. 곤두서서[upright] 
make one’s hair stand on end [공포 등으로] 머리카락을 쭈뼛 서게 하다 
2. 계속하여 
It rained for three days on end. 3일 동안 계속하여 비가 왔다. 


",미암기,2011-01-06 22:26:13
dash off,,급히 떠나다|돌진하다,"1)dash off a letter 편지를 단숨에 쓰다


",미암기,2011-01-06 21:32:29
crumby,krΛmi,빵부스러기투성이의|말랑한|열등한,"1)crumby stuff : 지저분한 짓
",미암기,2011-01-06 21:21:50
