단어,발음,주요뜻,메모,암기여부,저장날짜
fix up,fíksΛp,수리|개량|마약 1회분의 양,,미암기,2010-08-29 18:33:48
fall in with,,…과 일치하다|만나다|알게 되다,,미암기,2010-08-29 18:29:47
draw,drɔː,그리다|끌다|긋다|만들다|받다,,미암기,2010-08-29 18:25:03
at length,,마침내|충분히|상세히,,미암기,2010-08-29 17:57:40
oblige,əbláidʒ,…에게 강요하다,,미암기,2010-08-28 18:04:07
anatomy,ənǽtəmi,해부학|해부|구조,,미암기,2010-08-28 17:44:41
bend,bend,구부러지다|휘다|숙이다|굴절되다|굴복시키다,,미암기,2010-08-24 23:10:27
get past,,벗어나다|지나가다|…의 눈을 피하다,,미암기,2010-08-23 23:32:36
trust,trʌst,신뢰|믿음|신탁|기업합동|신용,,미암기,2010-08-23 23:21:54
in passing,,지나는 길에|…하는 김에|말이 난 김에,,미암기,2010-08-23 22:56:03
braid,breid,땋다|묶다,,미암기,2010-08-23 22:50:52
lock,lak,잠그다|갇히다|고정시키다|자물쇠|닫다,,미암기,2010-08-23 22:49:32
demented,diméntid,머리가 돈|실성한|발광한,,미암기,2010-08-22 21:08:57
revelation,rèvəléiʃən,계시|폭로|공개|드러내는|발현,,미암기,2010-08-22 20:59:25
minimize,mínəmàiz,과소평가하다|줄이다|…의 양을 최소 한도로 하다,,미암기,2010-08-20 23:45:32
bear with,,…을 참다|견디다|말하는 것을 참을성 있게 듣다,,미암기,2010-08-18 13:11:31
the end of the road,,"한계|막다른 길|목적지, 최종 목표",,미암기,2010-08-18 13:06:09
break in,,깨뜨리다|침입|길들이다|끼어들기,,미암기,2010-08-18 13:01:59
dream up,,생각해 내다|만들어 내다|창작하다,,미암기,2010-08-18 13:01:04
make waves,,물결을 일게 하다|소동을 일으키다|평지풍파를 일으키다,,미암기,2010-08-18 12:54:54
palimony,pǽləmouni,동거 생활을 하다가 헤어진 여성에게 주는 별거 수당|이별 위자료,,미암기,2010-08-18 12:51:38
alimony,ǽləmòuni,별거 수당|부양|부양금,,미암기,2010-08-18 12:51:30
referral,rifə́ːrəl,위탁|부탁|추천서,,미암기,2010-08-17 23:20:13
custodian,kʌstóudiən,관리인|보관자|보호인,,미암기,2010-08-17 23:05:06
inventory control,,재고 관리,,미암기,2010-08-17 17:27:04
cash cow,,수지맞는 장사|달러 박스|큰 돈 벌이가 되는 것,,미암기,2010-08-17 16:48:20
as the crow flies,,by the shortest and most direct route,,미암기,2010-08-16 23:21:29
allow,əláu,…할 수 있게 하다|허용하다|허락하다,,미암기,2010-08-16 23:19:13
add up,ǽdΛp,결과|합쳐서|맞다|총|전부,,미암기,2010-08-16 23:15:11
rail,reil,철도|레일|난간|철로,,미암기,2010-08-16 23:04:38
pool,puːl,풀|수영장|모으다|당구,,미암기,2010-08-16 17:50:08
own,oun,자신의|스스로 하는|…자체의|독자적인|직접의,,미암기,2010-08-16 17:01:11
fork out,,돈을 내놓다|내놓다|내어주다,,미암기,2010-08-16 16:36:46
stunt,stʌnt,스턴트|묘기|발육 부진|선전|방해하다,,미암기,2010-08-16 16:30:24
whammy,hwǽmi,재수없는 것|악마의 눈|그 눈으로 노려보기,,미암기,2010-08-16 00:00:30
entry,éntri,가입|진출|참가|수입|들어감,,미암기,2010-08-15 16:53:54
policyholder,pάlisihòuldər,보험 계 약자|피보험자,,미암기,2010-08-15 16:48:43
rushing,rΛʃiŋ,격한|성급한|활발한,,미암기,2010-08-15 16:35:56
날짜,,date|day,,미암기,2010-08-15 16:17:27
streamer,stríːmər,흐르는 것|기드림|색 테이프,,미암기,2010-08-15 15:33:41
defrost,difrɔ́ːst,녹다|해동시키다|해동되다,,미암기,2010-08-15 15:30:13
work up,wə́ːrkΛp,인쇄면의 얼룩|오점|얼룩,,미암기,2010-08-15 15:13:55
tempting,témptiŋ,유혹하는|매력적인|매혹적인,,미암기,2010-08-15 15:07:13
get ahold of,,…을 잡다|붙잡다|연락을 취하다,,미암기,2010-08-15 14:59:48
get,get,…시키다|받다|얻다|가지다|알아듣다,,미암기,2010-08-15 14:53:41
stink,stiŋk,악취|악취를 풍기다|고약한 냄새,,미암기,2010-08-15 14:50:41
risk,risk,위험|리스크|위기|우려|모험하다,,미암기,2010-08-15 13:55:43
trade,treid,무역|거래|통상|투자|직업,,미암기,2010-08-15 13:49:04
exult,igzΛlt,기뻐 날뛰다|미칠 듯이 기뻐하다|무척 기뻐하다,,미암기,2010-08-14 22:55:26
lie in state,,안치되다,,미암기,2010-08-14 22:24:55
jitter,dʒítər,신경질적으로 행동하다|안절부절 못하다|덜덜 떨다,,미암기,2010-08-14 22:22:07
fabled,féibld,전설적인|허구의|꾸며낸 이야기의,,미암기,2010-08-14 22:11:17
body rub,,마사지|전신 마사지,,미암기,2010-08-14 22:07:18
tummy,tΛmi,배,,미암기,2010-08-14 22:01:05
tuck,tʌk,넣다|감싸다|숨기다|굽히다,,미암기,2010-08-14 21:54:15
gaudy,gɔ́ːdi,야한|현란한|대만찬회,,미암기,2010-08-14 21:50:23
kick,kik,차다|발길질|킥|끊다|쏘는 맛,,미암기,2010-08-14 21:23:31
go,gou,가다|계속하다|떠나다|출발하다,,미암기,2010-08-14 21:18:01
memorabilia,mèmərəbíliə,기억할 만한 일|주요 기사|기록,,미암기,2010-08-14 21:05:14
역기,,a barbell|the weight|weight lifting,,미암기,2010-08-14 21:00:20
surgery,sə́ːrdʒəri,수술실|수술|외과,,미암기,2010-08-14 20:49:25
outing,áutiŋ,소풍|유람 여행|피크닉,,미암기,2010-08-14 20:39:38
well,wel,잘|흠|충분히|우물|나은,,미암기,2010-08-14 20:34:22
giggle,gígl,낄낄 웃다|키득거리다,,미암기,2010-08-14 20:31:06
hot spot,,위험한 장소|분쟁 지대|곤란한 상황,,미암기,2010-08-14 20:29:19
arteriosclerosis,aːrtìəriouskliəróusis,동맥 경화|동맥 경화증,,미암기,2010-08-14 20:25:21
be for it,,피할 수 없게 되어 있다|언짢은 일을 당하지 않을 수 없게 되어 있다,,미암기,2010-08-14 13:40:08
slip up,,미끄러져 넘어지다|발을 헛디디다|재앙을 만나다,,미암기,2010-08-13 11:31:04
turn over a new leaf,,생활을 일신하다|마음을 고치다,,미암기,2010-08-13 11:29:18
smell a rat,,수상하게 여기다|이상하다는 느낌을 가지다|눈치채다,,미암기,2010-08-13 11:28:42
on the house,,공짜로|가게에서 내는 턱으로|무료로,,미암기,2010-08-13 11:28:09
suck up to,,…에게 아첨하다,,미암기,2010-08-13 11:23:01
scald,skɔːld,…을 데게 하다|화상|끓을 정도로 가열하다,,미암기,2010-08-13 11:19:57
do in,,죽이다|모살하다|망쳐놓다,,미암기,2010-08-13 11:06:36
put it over,,스트라이크를 던지다|저 편에 건네다,,미암기,2010-08-13 11:05:06
put it over on a person,,남을 속이다|남의 허점을 이용하다,,미암기,2010-08-13 11:04:39
hold out on a person,,남에게 비밀로 하다|요구를 거절하다|양보하지 않다,,미암기,2010-08-13 11:00:59
wobbly,wάbli,흔들거리는|세계 산업 노동조합의 조합원|우울병,,미암기,2010-08-13 10:59:44
freeload,fríːlòud,얻어먹다|식객이 되다,,미암기,2010-08-13 10:56:46
angle,ǽŋgl,각도|관점|모서리,,미암기,2010-08-13 10:51:31
hot flash,,일과성 열감,,미암기,2010-08-13 10:48:11
layaway,léiəwèi,상품 예약 구입법,,미암기,2010-08-13 10:42:20
credentials,,a document attesting to the truth of certain stated facts,,미암기,2010-08-12 23:41:02
by rights,,with reason or justice,,미암기,2010-08-12 23:39:22
slog away,slag,…을 강타하다|강타|난타,,미암기,2010-08-12 23:37:32
wonk,waŋk,공부를 파고드는 학생|공부를 파고들다|시시한 녀석,,미암기,2010-08-12 23:35:49
with it,wíðit,현대식의|유행의 첨단을 걷는,,미암기,2010-08-12 23:34:52
with it,,in accord with the most fashionable ideas or style,"1)Don't you have anything more with it to wear?
넌 입을 게 좀 더 유행에 맞는 건 없니?
You don't seem very with it today.
네가 오늘은 뭐가 뭔지 잘 모르겠는 모양이구나.
",미암기,2010-08-12 23:34:47
miss out,mísàut,주사위 도박에서 건 돈을 잃는 주사위의 한번 던지기,,미암기,2010-08-12 23:19:20
mantle,mǽntl,맨틀|외벽|망토,,미암기,2010-08-12 23:15:44
hone,houn,숫돌|…을 숫돌로 갈다|불평을 말하다,,미암기,2010-08-12 23:04:25
grid lock,grídlὰk,교통 정체|교통 정체시키다|교통 마비 상태,,미암기,2010-08-12 23:01:27
oddball,aˈdbɔˌl,괴짜|별난,,미암기,2010-08-12 12:57:48
carpe diem,kάːrpi díːem,카르페 디엠|현재를 즐겨라,,미암기,2010-08-12 12:53:06
be tarred with the same brush,,같은 결점이 있다,,미암기,2010-08-12 12:49:44
kick the bucket,,죽다|뒈지다,,미암기,2010-08-12 12:48:40
a shot in the arm,,팔에 놓는 주사|자극|활력소,,미암기,2010-08-12 12:45:38
touch wood,,부정타지 않도록 빌다|행운을 빌다,,미암기,2010-08-12 12:43:05
hit home,,적중하다|급소를 찌르다|가슴을 찌르다,,미암기,2010-08-12 12:33:19
flip out,flípàut,자제력 상실|동요|엉뚱한 행동,,미암기,2010-08-12 11:15:39
call the shots,,지휘하다|명하다|지배하다,,미암기,2010-08-11 23:16:01
dog it,,허세 부리다|책임을 회피하다|일에 꾀를 부리다,,미암기,2010-08-11 23:13:13
extemporize,ikstémpə-ràiz,즉석에서 이야기하다|즉흥적으로 노래하다|…을 임시변통으로 만들다,,미암기,2010-08-11 23:07:34
knuckle down,,"work very hard, like a slave",,미암기,2010-08-11 23:05:26
infidelity,ìnfədéləti,부정|불충|불성실,,미암기,2010-08-11 23:02:36
backlog,bæˈklaˌg,주문 잔고|재고분|보유하다,,미암기,2010-08-11 22:59:26
have cold feet,,망설이다|겁을 먹다|겁먹다,,미암기,2010-08-11 22:51:45
chip in,,돈을모으다|기부하다|내기를 하다,,미암기,2010-08-11 22:47:57
get the ax,,감원당하다|정리되다|퇴학당하다,,미암기,2010-08-11 22:46:00
perish,périʃ,죽다|사라지다,,미암기,2010-08-11 16:38:48
walk out on,,버리다|떠나다|포기하다,,미암기,2010-08-11 16:31:40
pick up the pieces,,수습하다|사태를 수습하다,,미암기,2010-08-11 16:30:34
stalwart,stɔ́ːlwərt,건장한|튼튼한|힘세고 용감한|충실한,,미암기,2010-08-11 15:27:02
